bits,granularity,symmetry,percentile,uncalibrated,percentile - uncalibrated
4,per_channel,asymmetric,4.287840411022559,4.509012900181295,-0.22117248915873589
4,per_channel,symmetric,2.6133409582554417,2.5748583306162183,0.03848262763922339
4,per_tensor,asymmetric,8.045438782181789,6.915064144008724,1.1303746381730644
4,per_tensor,symmetric,6.576485718499509,6.604472164441667,-0.027986445942158156
8,per_channel,asymmetric,15.34618700390302,7.527228226752318,7.818958777150702
8,per_channel,symmetric,1.3105128460130555,1.3101275463623185,0.0003852996507369699
8,per_tensor,asymmetric,4.105208045497299,4.105208045497299,0.0
8,per_tensor,symmetric,1.3262106243623764,1.3292735986781352,-0.0030629743157588596
