bits,symmetry,calibration,per_channel,per_tensor,per_channel - per_tensor
4,asymmetric,percentile,4.287840411022559,8.045438782181789,-3.7575983711592293
4,asymmetric,uncalibrated,4.509012900181295,6.915064144008724,-2.406051243827429
4,symmetric,percentile,2.6133409582554417,6.576485718499509,-3.963144760244067
4,symmetric,uncalibrated,2.5748583306162183,6.604472164441667,-4.029613833825449
8,asymmetric,percentile,15.34618700390302,4.105208045497299,11.240978958405723
8,asymmetric,uncalibrated,7.527228226752318,4.105208045497299,3.4220201812550197
8,symmetric,percentile,1.3105128460130555,1.3262106243623764,-0.015697778349320846
8,symmetric,uncalibrated,1.3101275463623185,1.3292735986781352,-0.019146052315816675
