bits,granularity,calibration,asymmetric,symmetric,asymmetric - symmetric
4,per_channel,percentile,4.287840411022559,2.6133409582554417,1.6744994527671175
4,per_channel,uncalibrated,4.509012900181295,2.5748583306162183,1.9341545695650768
4,per_tensor,percentile,8.045438782181789,6.576485718499509,1.4689530636822798
4,per_tensor,uncalibrated,6.915064144008724,6.604472164441667,0.3105919795670573
8,per_channel,percentile,15.34618700390302,1.3105128460130555,14.035674157889964
8,per_channel,uncalibrated,7.527228226752318,1.3101275463623185,6.21710068039
8,per_tensor,percentile,4.105208045497299,1.3262106243623764,2.778997421134922
8,per_tensor,uncalibrated,4.105208045497299,1.3292735986781352,2.7759344468191633
